text,label
yoxdubos,yoxdu boş
sinife,sinifə
şərhlər,şərhlər
hamsını,hamısını
Girmey,girmək
cografiyanin,cografiyanın
rastımıza,rastımıza
ödədiyin,ödədiyin
Çətində,çətin də
Ötmek,ötmək
Baxşəlili,Baxşəlili
daraldığını,daraldığını
burdadır,burdadır
bölmede,bölmədə
qarışacağ,qarışacaq
hazirlasmaq,hazırlaşmaq
İnfinity,İnfinity
sınaqlarıda,sınaqları da
axirlari,axırları
Göstərilən,göstərilən
aoruşur,soruşur
anda,anda
ikisinde,ikisini də
aparatini,aparatını
variantdi,variantdı
Cəmiyyətin,cəmiyyətin
qebuldu,qəbul du
Isteyiniz,istəyiniz
bilerler,bilərlər
qrupdayam,qrupdayam
Gözleri,gözləri
sonlarında,sonlarında
yüklüyüm,yüklüyüm
kitabn,kitabın
bilib,bilib
Bəlii,bəli
Sentyabra,sentyabra
universitetləri,universitetləri
ucun,üçün
Nəyəsə,nəyəsə
isdəyirdim,istəyirdim
Yoxdyr,yoxdur
1də,1 də
saatları,saatları
Bullar,bunlar
seçiminizin,seçiminizin
qaparitli,qabaritli
yerim,yerim
getdik,getdik
Fikirimi,fikrimi
yukledikden,yüklədikdən
informasiya,informasiya
Necə,necə
prosesləri,prosesləri
kimsəsiz,kimsəsiz
uzrede,üzrə də
keçirlər,keçirlər
gətirməmişdi,gətirməmişdi
demeyin,deməyin
vereqesi,vərəqəsi
görmürdüm,görmürdüm
köynək,köynək
Övladlarına,övladlarına
yayındırır,yayındırır
imtaxan,imtahan
Ehemiyyetce,əhəmiyyətcə
Sıfırdan,sıfırdan
2010-cu,2010-cu
yenilənir,yenilənir
avtobil,avtomobil
atardz,atardınız
instansiyası,instansiyası
Qaynanam,qaynanam
Bakalavrlar,bakalavrlar
qebulun,qəbulun
buraxilişda,buraxılış da
yorucudu,yorucudur
etməyəsiz,etməyəsiz
kuy,küy
kateqoriyasında,kateqoriyasında
Atda,at da
verməli,verməli
siniflərini,siniflərini
menım,mənim
riyaziyyatda,riyaziyyatda
iwlemiwem,işləmişəm
silah,silah
oxumaqdansa,oxumaqdansa
ailədə,ailədə
Razinə,Razinə
bileceyikse,biləcəyiksə
rüşvətxor,rüşvətxor
isteyiremde,istəyirəm də
gedərsən,gedərsən
taleyim,taleyim
yazmasan,yazmasan
ADNSU-nun,ADNSU-nun
deyer,dəyər
yazması,yazması
Rüsumla,rüsumla
etmişdiz,etmişdiniz
koordinatoru,koordinatoru
Sederekde,Sədərəkdə
baxb,baxıb
Farsunka,Forsunka
teleqrami,teleqramı
baxılır,baxılır
bağlanmağına,bağlanmağına
nolubki,nolub ki
münasibət,münasibət
sönər,sönər
kəsişməsidir,kəsişməsidir
aciqlanacaq,açıqlanacaq
diqer,digər
direk,dirək
nasıl,nasıl
işləyib,işləyib
sevinci,sevinci
testlərdir,testlərdir
ağıllarına,ağıllarına
başlasanız,başlasanız
Mellimden,müəllimdən
Konspektler,konspektlər
düşüb,düşüb
portaldan,portaldan
aqir,ağır
sulallar,suallar
ata,ata
cərmələr,cərimələr
94-14,94-14
Baxar,baxar
zolagli,zolağlı
ölkələrin,ölkələrin
etdıyivız,etdiyiniz
kimde,kimdə
yaratdıqlarından,yaratdıqlarından
hazirlig,hazırlıq
yazılıdır,yazılıdır
soymaq,soymaq
niyyetlee,niyyətlə
yaşasaz,yaşasanız
Vüsət,Vüsət
operativ,operativ
açdıqda,açdıqda
minnetdar,minnətdar
