model_id,treshold,accuracy,latency_per_word,wer_0,wer_1,wer_2,wer_3,wer_4
4,0.7,0.74452,0.003 sec,7271,1331,627,280,124
4,0.75,0.7479,0.003 sec,7304,1343,618,268,115
4,0.8,0.75364,0.003 sec,7360,1381,589,244,95
4,0.85,0.75681,0.003 sec,7391,1384,561,230,93
4,0.9,0.73838,0.003 sec,7211,1403,602,287,127
5,0.7,0.7437,0.003 sec,7263,1310,636,281,144
5,0.75,0.7477,0.003 sec,7302,1318,642,258,125
5,0.8,0.75271,0.003 sec,7351,1328,623,249,111
5,0.85,0.75374,0.003 sec,7361,1337,602,251,120
5,0.9,0.73572,0.003 sec,7185,1382,624,305,150
6,0.7,0.74002,0.003 sec,7227,1314,658,311,137
7,0.7,0.74063,0.003 sec,7233,1314,661,311,121
6,0.75,0.7437,0.004 sec,7263,1326,666,282,129
7,0.75,0.74503,0.003 sec,7276,1331,642,297,110
6,0.8,0.74708,0.003 sec,7296,1351,645,270,118
7,0.8,0.74698,0.003 sec,7295,1350,629,281,107
6,0.85,0.74708,0.003 sec,7296,1363,628,259,120
7,0.85,0.74636,0.003 sec,7289,1348,608,294,122
6,0.9,0.72589,0.003 sec,7089,1390,686,315,154
7,0.9,0.72763,0.003 sec,7106,1381,661,341,153
---
1,0.7,WER=24.58 CER=5.85,0.002 sec,7366,1250,622,280,123
1,0.75,WER=24.11 CER=5.56,0.002 sec,7411,1270,611,262,109
1,0.8,WER=23.73 CER=5.38,0.002 sec,7449,1282,594,249,101
1,0.85,WER=23.44 CER=5.29,0.002 sec,7477,1288,570,239,96
1,0.9,WER=24.49 CER=5.68,0.002 sec,7374,1311,593,262,111
2,0.7,WER=25.16 CER=6.05,0.002 sec,7309,1286,628,260,141
2,0.75,WER=24.77 CER=5.77,0.002 sec,7347,1303,623,239,132
2,0.8,WER=24.5 CER=5.57,0.002 sec,7373,1313,627,227,123
2,0.85,WER=24.16 CER=5.52,0.002 sec,7407,1282,630,228,116
2,0.9,WER=24.56 CER=5.74,0.002 sec,7367,1282,620,263,129
6,0.7,WER=24.42 CER=5.62,0.002 sec,7381,1306,591,269,111
6,0.75,WER=24.1 CER=5.4,0.002 sec,7412,1304,608,246,104
6,0.8,WER=23.71 CER=5.2,0.002 sec,7450,1325,585,226,97
6,0.85,WER=23.57 CER=5.15,0.002 sec,7464,1317,580,232,90
6,0.9,WER=24.44 CER=5.58,0.002 sec,7379,1317,597,264,110
7,0.7,WER=24.98 CER=5.94,0.002 sec,7326,1275,646,265,128
7,0.75,WER=24.71 CER=5.73,0.002 sec,7353,1297,633,250,123
7,0.8,WER=24.28 CER=5.49,0.002 sec,7395,1311,616,234,113
7,0.85,WER=24.16 CER=5.39,0.002 sec,7407,1336,596,229,107
7,0.9,WER=24.79 CER=5.62,0.002 sec,7345,1360,591,250,124
---
1,0.8,WER=23.73 CER=5.38,0.002 sec,7449,1282,594,249,101
1,0.8250000000000001,WER=23.52 CER=5.27,0.002 sec,7469,1287,584,245,94
1,0.8500000000000001,WER=23.44 CER=5.29,0.002 sec,7477,1288,570,239,96
1,0.875,WER=23.59 CER=5.29,0.002 sec,7462,1298,572,252,90
1,0.9,WER=24.49 CER=5.68,0.002 sec,7374,1311,593,262,111
