no_models,treshold,accuracy,latency_per_word,wer_0,wer_1,wer_2,wer_3,wer_4
7,2,0.80903,0.006 sec,7901,1149,430,165,62
7,3,0.81108,0.009 sec,7921,1114,405,178,73
7,4,0.79173,0.012 sec,7732,1145,468,215,108
7,5,0.75579,0.014 sec,7381,1224,580,280,166
7,6,0.71165,0.014 sec,6950,1352,724,371,205
7,7,0.62554,0.013 sec,6109,1688,967,521,279
8,2,0.81026,0.006 sec,7913,1147,429,164,57
8,3,0.81343,0.01 sec,7944,1128,397,162,66
8,4,0.80176,0.012 sec,7830,1130,426,196,96
8,5,0.78016,0.015 sec,7619,1156,505,244,127
8,6,0.74636,0.015 sec,7289,1238,617,307,173
8,7,0.70141,0.016 sec,6850,1379,757,398,212
8,8,0.61868,0.013 sec,6042,1719,984,530,286
8,1,0.73531,0.002 sec,7181,1294,620,314,157
---
7,1,WER=26.52 CER=6.77,0.002 sec,7176,1287,640,301,187
7,2,WER=17.79 CER=3.63,0.006 sec,8029,1111,386,123,67
7,3,WER=17.08 CER=3.61,0.009 sec,8098,1059,365,114,65
7,4,WER=18.57 CER=4.29,0.012 sec,7952,1039,419,174,93
7,5,WER=21.53 CER=5.28,0.013 sec,7663,1110,500,239,135
7,6,WER=26.4 CER=6.73,0.014 sec,7188,1258,639,349,172
7,7,WER=35.71 CER=9.18,0.012 sec,6279,1613,925,499,256
8,1,WER=26.52 CER=6.77,0.002 sec,7176,1287,640,301,187
8,2,WER=17.82 CER=3.64,0.006 sec,8026,1109,392,123,68
8,3,WER=16.89 CER=3.5,0.009 sec,8117,1060,361,111,59
8,4,WER=17.55 CER=3.93,0.012 sec,8052,1027,378,155,72
8,5,WER=19.57 CER=4.67,0.014 sec,7855,1043,451,205,113
8,6,WER=22.68 CER=5.66,0.016 sec,7551,1127,542,272,143
8,7,WER=27.38 CER=6.98,0.016 sec,7092,1296,670,367,179
8,8,WER=36.61 CER=9.43,0.014 sec,6191,1649,950,514,260
