model_id,treshold,accuracy,latency_per_word,wer_0,wer_1,wer_2,wer_3,wer_4
4,0.3,0.75681,0.003 sec,7391,1363,581,237,96
4,0.35,0.75404,0.003 sec,7364,1357,596,249,100
4,0.4,0.75056,0.003 sec,7330,1349,610,263,110
4,0.45,0.7477,0.003 sec,7302,1350,613,269,117
4,0.5,0.74534,0.003 sec,7279,1338,619,274,125
5,0.3,0.75486,0.003 sec,7372,1338,613,241,107
5,0.35,0.75241,0.003 sec,7348,1331,628,256,103
5,0.4,0.74862,0.003 sec,7311,1327,640,265,115
5,0.45,0.74606,0.003 sec,7286,1334,647,268,118
5,0.5,0.7435,0.003 sec,7261,1319,641,278,136
6,0.3,0.74657,0.003 sec,7291,1369,645,252,118
6,0.35,0.74718,0.003 sec,7297,1354,649,263,124
6,0.4,0.74524,0.003 sec,7278,1345,650,282,122
6,0.45,0.7434,0.003 sec,7260,1330,651,293,141
6,0.5,0.74073,0.003 sec,7234,1316,669,299,146
7,0.3,0.74821,0.003 sec,7307,1356,622,278,107
7,0.35,0.7477,0.003 sec,7302,1344,643,275,105
7,0.4,0.74606,0.003 sec,7286,1342,648,279,109
7,0.45,0.74381,0.003 sec,7264,1323,661,287,127
7,0.5,0.74145,0.004 sec,7241,1313,658,302,129
---
1,0.3,WER=23.56 CER=5.28,0.002 sec,7465,1288,595,230,99
1,0.35,WER=23.81 CER=5.42,0.002 sec,7441,1269,603,249,111
1,0.4,WER=24.05 CER=5.56,0.002 sec,7417,1264,610,260,114
1,0.45,WER=24.29 CER=5.65,0.002 sec,7394,1260,625,266,114
1,0.5,WER=24.64 CER=5.83,0.002 sec,7360,1258,627,278,122
2,0.3,WER=24.26 CER=5.45,0.002 sec,7397,1308,629,219,118
2,0.35,WER=24.55 CER=5.54,0.002 sec,7368,1314,629,235,124
2,0.4,WER=24.81 CER=5.69,0.002 sec,7343,1309,636,244,126
2,0.45,WER=24.97 CER=5.89,0.002 sec,7327,1293,629,259,131
2,0.5,WER=25.15 CER=6.01,0.002 sec,7310,1290,630,264,138
6,0.3,WER=23.45 CER=5.1,0.002 sec,7476,1325,573,219,94
6,0.35,WER=23.86 CER=5.28,0.002 sec,7436,1315,597,233,99
6,0.4,WER=24.09 CER=5.38,0.002 sec,7413,1317,595,248,103
6,0.45,WER=24.29 CER=5.51,0.002 sec,7394,1310,595,258,110
6,0.5,WER=24.41 CER=5.56,0.002 sec,7382,1314,596,261,111
7,0.3,WER=24.29 CER=5.48,0.002 sec,7394,1316,614,236,108
7,0.35,WER=24.44 CER=5.56,0.002 sec,7379,1302,630,242,115
7,0.4,WER=24.63 CER=5.71,0.002 sec,7361,1290,640,242,123
7,0.45,WER=24.89 CER=5.88,0.002 sec,7335,1282,644,255,129
7,0.5,WER=24.97 CER=5.99,0.002 sec,7327,1263,650,267,131
---
1,0.2,WER=23.38 CER=5.25,0.002 sec,7483,1284,574,245,90
1,0.25,WER=23.44 CER=5.21,0.002 sec,7477,1296,581,231,95
1,0.30000000000000004,WER=23.56 CER=5.28,0.002 sec,7465,1288,595,230,99
1,0.35000000000000003,WER=23.81 CER=5.42,0.002 sec,7441,1269,603,249,111
1,0.4,WER=24.05 CER=5.56,0.002 sec,7417,1264,610,260,114
2,0.2,WER=24.09 CER=5.44,0.002 sec,7413,1310,614,229,108
---
1,0.1,WER=27.33 CER=6.66,0.002 sec,7097,1395,646,327,150
1,0.15,WER=24.2 CER=5.57,0.002 sec,7403,1316,570,259,109
1,0.2,WER=23.38 CER=5.25,0.002 sec,7483,1284,574,245,90
1,0.25,WER=23.44 CER=5.21,0.002 sec,7477,1296,581,231,95
1,0.3,WER=23.56 CER=5.28,0.002 sec,7465,1288,595,230,99
2,0.1,WER=27.59 CER=6.74,0.002 sec,7072,1368,686,335,166
---
1,0.15,WER=24.2 CER=5.57,0.002 sec,7403,1316,570,259,109
1,0.175,WER=23.64 CER=5.38,0.002 sec,7457,1288,576,249,99
1,0.2,WER=23.38 CER=5.25,0.002 sec,7483,1284,574,245,90
1,0.225,WER=23.31 CER=5.17,0.002 sec,7490,1297,574,228,92
1,0.25,WER=23.44 CER=5.21,0.002 sec,7477,1296,581,231,95
2,0.15,WER=24.64 CER=5.74,0.002 sec,7360,1311,607,254,123
2,0.175,WER=24.29 CER=5.53,0.002 sec,7394,1319,611,232,108
2,0.2,WER=24.09 CER=5.44,0.002 sec,7413,1310,614,229,108
2,0.225,WER=23.98 CER=5.35,0.002 sec,7424,1319,614,214,106
2,0.25,WER=24.11 CER=5.4,0.002 sec,7411,1318,622,210,112
6,0.15,WER=24.72 CER=5.65,0.002 sec,7352,1342,598,258,110
6,0.175,WER=24.09 CER=5.37,0.002 sec,7413,1350,573,234,101
6,0.2,WER=23.5 CER=5.18,0.002 sec,7471,1327,567,217,95
6,0.225,WER=23.42 CER=5.1,0.002 sec,7479,1342,559,209,91
6,0.25,WER=23.4 CER=5.08,0.002 sec,7481,1336,560,216,93
7,0.15,WER=24.9 CER=5.66,0.002 sec,7334,1363,593,257,117
7,0.175,WER=24.11 CER=5.37,0.002 sec,7411,1356,580,219,105
7,0.2,WER=23.85 CER=5.23,0.002 sec,7437,1354,579,207,102
7,0.225,WER=23.67 CER=5.19,0.002 sec,7454,1341,575,213,99
7,0.25,WER=23.84 CER=5.31,0.002 sec,7438,1324,583,225,102
