no_models,treshold,accuracy,latency_per_word,wer_0,wer_1,wer_2,wer_3,wer_4
1,1,0.707,0.002 sec,6332,1277,663,330,186
2,1,0.707,0.002 sec,6332,1277,663,330,186
2,2,0.722,0.004 sec,6465,1275,600,318,155
3,1,0.707,0.002 sec,6332,1277,663,330,186
3,2,0.775,0.005 sec,6940,1169,456,206,92
3,3,0.69,0.006 sec,6179,1372,682,367,189
4,1,0.707,0.002 sec,6332,1277,663,330,186
4,2,0.788,0.006 sec,7057,1156,434,168,74
4,3,0.756,0.007 sec,6769,1167,517,260,122
4,4,0.669,0.008 sec,5995,1435,729,411,204
5,1,0.707,0.002 sec,6332,1277,663,330,186
5,2,0.791,0.006 sec,7080,1173,426,153,67
5,3,0.784,0.008 sec,7022,1122,425,200,97
5,4,0.74,0.009 sec,6625,1215,551,293,142
5,5,0.654,0.009 sec,5853,1478,784,439,216
6,1,0.707,0.002 sec,6332,1277,663,330,186
6,2,0.792,0.006 sec,7093,1175,425,148,63
6,3,0.793,0.008 sec,7097,1129,395,168,84
6,4,0.77,0.01 sec,6899,1129,467,238,119
6,5,0.723,0.011 sec,6474,1255,600,322,162
6,6,0.639,0.01 sec,5721,1530,824,465,227
7,1,0.707,0.002 sec,6332,1277,663,330,186
7,2,0.793,0.006 sec,7098,1172,426,146,64
7,3,0.799,0.009 sec,7152,1120,385,143,78
7,4,0.783,0.012 sec,7016,1130,401,210,107
7,5,0.756,0.013 sec,6770,1147,518,264,133
7,6,0.711,0.013 sec,6370,1283,633,346,169
7,7,0.629,0.011 sec,5632,1572,846,479,234
8,1,0.707,0.002 sec,6332,1277,663,330,186
8,2,0.793,0.007 sec,7097,1171,430,148,61
8,3,0.8,0.009 sec,7160,1132,384,132,79
8,4,0.792,0.012 sec,7088,1122,381,186,91
8,5,0.771,0.013 sec,6905,1130,451,238,125
8,6,0.741,0.015 sec,6636,1184,554,302,146
8,7,0.696,0.015 sec,6233,1332,669,375,183
8,8,0.616,0.013 sec,5514,1624,882,493,248
