no_models,treshold,accuracy,latency_per_word,wer_0,wer_1,wer_2,wer_3,wer_4
1,1,0.732,0.007 sec,7145,1271,667,340,152
2,1,0.732,0.003 sec,7145,1271,667,340,152
2,2,0.738,0.006 sec,7210,1296,626,340,161
3,1,0.732,0.005 sec,7145,1271,667,340,152
3,2,0.791,0.006 sec,7722,1191,456,209,93
3,3,0.7,0.011 sec,6840,1405,761,392,208
4,1,0.732,0.003 sec,7145,1271,667,340,152
4,2,0.804,0.007 sec,7852,1157,448,165,75
4,3,0.768,0.011 sec,7499,1215,540,258,136
4,4,0.682,0.014 sec,6661,1463,813,430,225
5,1,0.732,0.003 sec,7145,1271,667,340,152
5,2,0.807,0.008 sec,7882,1156,447,155,64
5,3,0.791,0.013 sec,7723,1166,471,204,107
5,4,0.745,0.015 sec,7273,1251,621,315,165
5,5,0.658,4.515 sec,6429,1551,882,473,250
6,1,0.732,0.003 sec,7145,1271,667,340,152
6,2,0.809,0.007 sec,7898,1149,445,152,65
6,3,0.804,0.01 sec,7847,1140,435,174,89
6,4,0.778,0.012 sec,7596,1162,520,245,129
6,5,0.73,0.013 sec,7129,1297,669,339,186
6,6,0.646,0.012 sec,6311,1594,917,493,261
7,1,0.732,0.002 sec,7145,1271,667,340,152
7,2,0.81,0.006 sec,7912,1150,442,152,58
7,3,0.81,0.009 sec,7912,1126,412,167,73
7,4,0.798,0.016 sec,7797,1113,446,207,105
